City,Country,Total_Customers,Total_Revenue
Yinchuan,China,1,139.70
Duisburg,Germany,1,139.67
Fengshan,Taiwan,1,139.66
Imus,Philippines,1,138.71
Coatzacoalcos,Mexico,1,138.71
"Sungai Petani",Malaysia,1,138.68
Fontana,"United States",1,138.67
"Siliguri (Shiliguri)",India,1,138.66
Ife,Nigeria,1,137.70
Aden,Yemen,1,137.69
Parbhani,India,1,137.69
Ashdod,Israel,1,137.67
Nuuk,Greenland,1,137.66
Ashgabat,Turkmenistan,1,136.73
Tychy,Poland,1,136.64
Athenai,Greece,1,135.74
Otsu,Japan,1,135.74
Wroclaw,Poland,1,135.72
Erlangen,Germany,1,135.71
Papeete,"French Polynesia",1,135.70
Sumqayit,Azerbaijan,1,135.70
Tabriz,Iran,1,135.69
Boksburg,"South Africa",1,135.68
NDjamna,Chad,1,135.68
Jinchang,China,1,135.66
"Juiz de Fora",Brazil,1,134.73
"Angra dos Reis",Brazil,1,134.70
Bhopal,India,1,134.68
"La Plata",Argentina,1,134.68
"Nha Trang",Vietnam,1,134.68
Leshan,China,1,134.68
Kitwe,Zambia,1,134.67
Lhokseumawe,Indonesia,1,134.66
Naçala-Porto,Mozambique,1,133.75
Mysore,India,1,133.73
Goiânia,Brazil,1,133.72
Joliet,"United States",1,133.72
Kirovo-Tšepetsk,"Russian Federation",1,133.71
Olomouc,"Czech Republic",1,133.71
Lancaster,"United States",1,133.70
Syrakusa,Italy,1,132.72
Miraj,India,1,132.71
Huixquilucan,Mexico,1,132.70
"San Felipe del Progreso",Mexico,1,132.70
Avellaneda,Argentina,1,132.70
Uijongbu,"South Korea",1,132.68
Osmaniye,Turkey,1,131.73
Hiroshima,Japan,1,131.70
Sorocaba,Brazil,1,131.67
Simferopol,Ukraine,1,130.74
Jining,China,1,130.73
Jedda,"Saudi Arabia",1,130.72
Yuncheng,China,1,130.70
Fukuyama,Japan,1,130.68
"Boa Vista",Brazil,1,130.68
York,"United Kingdom",1,129.72
Loja,Ecuador,1,129.72
Baybay,Philippines,1,129.70
Salinas,"United States",1,129.70
Patiala,India,1,129.70
Banjul,Gambia,1,129.70
Toulouse,France,1,129.68
Lapu-Lapu,Philippines,1,129.68
"Santo André",Brazil,1,129.64
"San Bernardino","United States",1,128.73
Ozamis,Philippines,1,128.73
"Bahía Blanca",Argentina,1,128.72
Iwakuni,Japan,1,128.71
Mukatševe,Ukraine,1,128.70
Ahmadnagar,India,1,128.67
"El Fuerte",Mexico,1,128.67
Vijayawada,India,1,127.75
Antofagasta,Chile,1,127.73
Jhansi,India,1,127.71
Miyakonojo,Japan,1,127.71
Tiefa,China,1,127.71
Xinxiang,China,1,127.70
Jastrzebie-Zdrój,Poland,1,127.68
Jamalpur,Bangladesh,1,127.68
Chisinau,Moldova,1,127.66
Urawa,Japan,1,127.66
Blumenau,Brazil,1,126.73
"Purnea (Purnia)",India,1,126.73
"Benin City",Nigeria,1,126.72
Coquimbo,Chile,1,126.72
Huánuco,Peru,1,126.71
Cuernavaca,Mexico,1,126.71
Merlo,Argentina,1,126.70
Davao,Philippines,1,126.69
Lima,Peru,1,126.68
Greensboro,"United States",1,126.68
Kimberley,"South Africa",1,125.76
Emeishan,China,1,124.74
"Mit Ghamr",Egypt,1,124.73
Dallas,"United States",1,124.72
Cavite,Philippines,1,124.70
Botosani,Romania,1,124.67
Liaocheng,China,1,124.66
Lilongwe,Malawi,1,123.72
"Palghat (Palakkad)",India,1,123.71
Brindisi,Italy,1,123.70
Lungtan,Taiwan,1,123.66
Kamyšin,"Russian Federation",1,122.74
"Santa Fé",Argentina,1,122.73
Warren,"United States",1,122.72
Kakamigahara,Japan,1,122.71
Mandaluyong,Philippines,1,122.71
Datong,China,1,122.69
"Charlotte Amalie","Virgin Islands, U.S.",1,122.68
Xi´angfan,China,1,122.66
Plock,Poland,1,121.76
Brockton,"United States",1,121.74
Satna,India,1,121.70
Korolev,"Russian Federation",1,121.69
Dadu,Pakistan,1,121.69
Kursk,"Russian Federation",1,120.77
Funafuti,Tuvalu,1,120.74
Ambattur,India,1,120.74
Sawhaj,Egypt,1,120.74
Baiyin,China,1,120.74
Zhezqazghan,Kazakstan,1,120.71
Halle/Saale,Germany,1,120.69
Udaipur,India,1,119.74
Pjatigorsk,"Russian Federation",1,119.74
Pudukkottai,India,1,119.73
Portoviejo,Ecuador,1,119.72
Graz,Austria,1,119.71
Liepaja,Latvia,1,119.70
Rampur,India,1,119.70
Hanoi,Vietnam,1,119.69
Chandrapur,India,1,119.68
Yerevan,Armenia,1,118.75
Kuwana,Japan,1,118.75
Owo,Nigeria,1,118.73
Sharja,"United Arab Emirates",1,118.73
Southend-on-Sea,"United Kingdom",1,118.72
Salzburg,Austria,1,118.72
Dhaka,Bangladesh,1,118.72
Bhimavaram,India,1,118.71
Sasebo,Japan,1,118.68
Tongliao,China,1,118.68
Southampton,"United Kingdom",1,117.77
Sogamoso,Colombia,1,117.76
Quilmes,Argentina,1,117.76
Tonghae,"South Korea",1,117.75
Iwaki,Japan,1,117.74
Effon-Alaiye,Nigeria,1,117.73
Tanshui,Taiwan,1,117.73
"Citrus Heights","United States",1,117.72
Poá,Brazil,1,117.72
Kamjanets-Podilskyi,Ukraine,1,117.71
Baicheng,China,1,117.71
"Pak Kret",Thailand,1,117.70
Jinzhou,China,1,117.70
Birgunj,Nepal,1,116.78
Newcastle,"South Africa",1,116.77
Jaffna,"Sri Lanka",1,116.70
Sunnyvale,"United States",1,116.69
Uluberia,India,1,116.69
"Poços de Caldas",Brazil,1,116.68
Callao,Peru,1,115.74
Kuching,Malaysia,1,115.73
Madiun,Indonesia,1,115.72
Shikarpur,Pakistan,1,115.71
Tambaram,India,1,115.71
Mwanza,Tanzania,1,115.71
Shaoguan,China,1,115.71
Weifang,China,1,115.71
Mardan,Pakistan,1,115.70
Nagareyama,Japan,1,115.70
Tartu,Estonia,1,115.70
Ueda,Japan,1,115.68
Guarujá,Brazil,1,114.76
Mexicali,Mexico,1,114.75
Lipetsk,"Russian Federation",1,114.74
Ipoh,Malaysia,1,114.74
Zanzibar,Tanzania,1,114.73
Vaduz,Liechtenstein,1,114.72
Tórshavn,"Faroe Islands",1,114.72
Paarl,"South Africa",1,114.72
Rockford,"United States",1,114.72
Haldia,India,1,114.69
Cuautla,Mexico,1,114.69
Salé,Morocco,1,113.78
"Huejutla de Reyes",Mexico,1,113.75
Dayton,"United States",1,113.74
Acuña,Mexico,1,113.74
"Garden Grove","United States",1,113.74
Touliu,Taiwan,1,113.73
Cumaná,Venezuela,1,113.71
"Nabereznyje Tšelny","Russian Federation",1,113.71
Pyongyang,"North Korea",1,113.69
"Bandar Seri Begawan",Brunei,1,113.65
Sultanbeyli,Turkey,1,112.77
Ruse,Bulgaria,1,112.76
Lincoln,"United States",1,112.75
al-Manama,Bahrain,1,112.75
Adana,Turkey,1,112.74
Rustenburg,"South Africa",1,112.73
Batna,Algeria,1,112.72
"Tel Aviv-Jaffa",Israel,1,112.70
Monywa,Myanmar,1,112.70
Maracaíbo,Venezuela,1,111.77
Benguela,Angola,1,111.75
"Jalib al-Shuyukh",Kuwait,1,111.74
Sivas,Turkey,1,111.74
Pemalang,Indonesia,1,111.73
Iwatsuki,Japan,1,111.73
Mosul,Iraq,1,111.73
Taizz,Yemen,1,111.72
Székesfehérvár,Hungary,1,111.71
"Munger (Monghyr)",India,1,111.68
"Santiago de los Caballeros","Dominican Republic",1,110.76
Mwene-Ditu,"Congo, The Democratic Republic of the",1,110.76
al-Qatif,"Saudi Arabia",1,110.75
Uttarpara-Kotrung,India,1,110.74
Nador,Morocco,1,110.73
Tabora,Tanzania,1,110.73
Meixian,China,1,110.72
Kurgan,"Russian Federation",1,110.72
Bilbays,Egypt,1,110.72
Bucuresti,Romania,1,110.71
Pune,India,1,110.70
Shanwei,China,1,110.70
Hohhot,China,1,110.66
Stockport,"United Kingdom",1,109.78
Bern,Switzerland,1,109.75
Kisumu,Kenya,1,109.75
Arlington,"United States",1,109.75
Florencia,Colombia,1,109.75
Sokoto,Nigeria,1,109.75
Etawah,India,1,109.74
Baku,Azerbaijan,1,109.73
Johannesburg,"South Africa",1,109.73
"Valle de la Pascua",Venezuela,1,109.72
Akishima,Japan,1,109.72
Tandil,Argentina,1,109.68
"Juazeiro do Norte",Brazil,1,108.78
Livorno,Italy,1,108.76
Witten,Germany,1,108.75
Czestochowa,Poland,1,108.75
Celaya,Mexico,1,108.74
Soshanguve,"South Africa",1,108.72
Peoria,"United States",1,108.70
Maringá,Brazil,1,107.77
Tianjin,China,1,107.77
Smolensk,"Russian Federation",1,107.76
"Novi Sad",Yugoslavia,1,107.76
Klerksdorp,"South Africa",1,107.74
Tuguegarao,Philippines,1,107.74
"José Azueta",Mexico,1,107.73
"A Coruña (La Coruña)",Spain,1,107.71
"San Felipe de Puerto Plata","Dominican Republic",1,107.70
"Abu Dhabi","United Arab Emirates",1,107.68
Ede,Netherlands,1,106.77
"San Lorenzo",Paraguay,1,106.77
Bhavnagar,India,1,106.77
Sagamihara,Japan,1,106.76
al-Ayn,"United Arab Emirates",1,106.75
Ljubertsy,"Russian Federation",1,106.73
"South Hill",Anguilla,1,106.65
Tsuyama,Japan,1,105.79
Hidalgo,Mexico,1,105.75
"Kansas City","United States",1,105.75
Allende,Mexico,1,105.75
Chungho,Taiwan,1,105.75
"Augusta-Richmond County","United States",1,105.73
Atšinsk,"Russian Federation",1,105.71
"Coacalco de Berriozábal",Mexico,1,104.78
"Deba Habe",Nigeria,1,104.77
Dongying,China,1,104.77
Kalisz,Poland,1,104.75
Kamarhati,India,1,104.74
Tabuk,"Saudi Arabia",1,104.74
"San Juan Bautista Tuxtepec",Mexico,1,104.74
Izumisano,Japan,1,104.70
Cayenne,"French Guiana",1,103.78
Okinawa,Japan,1,103.77
Isesaki,Japan,1,103.77
Šostka,Ukraine,1,103.76
Haiphong,Vietnam,1,103.75
Yuzhou,China,1,103.75
Sanya,China,1,103.75
Bhusawal,India,1,103.74
"Rio Claro",Brazil,1,103.73
Ponce,"Puerto Rico",1,103.73
Namibe,Angola,1,103.73
"Yamuna Nagar",India,1,103.72
"Vitória de Santo Antão",Brazil,1,103.72
Jelets,"Russian Federation",1,102.76
Escobar,Argentina,1,102.74
Adoni,India,1,101.78
Gaziantep,Turkey,1,101.78
Rajkot,India,1,101.78
Springs,"South Africa",1,101.75
Ondo,Nigeria,1,101.75
"Almirante Brown",Argentina,1,101.75
"Vicente López",Argentina,1,101.74
Oulu,Finland,1,101.74
Tama,Japan,1,101.74
Lubumbashi,"Congo, The Democratic Republic of the",1,101.74
Chapra,India,1,100.80
Balašiha,"Russian Federation",1,100.78
Ivanovo,"Russian Federation",1,100.77
"Varanasi (Benares)",India,1,100.76
Ziguinchor,Senegal,1,100.75
Sanaa,Yemen,1,100.74
Emmen,Netherlands,1,100.74
Araçatuba,Brazil,1,100.72
Yaoundé,Cameroon,1,100.69
Daxian,China,1,100.67
Sirjan,Iran,1,99.80
Okayama,Japan,1,99.79
Xi´angtan,China,1,99.78
Firozabad,India,1,99.77
Bamenda,Cameroon,1,99.77
"La Romana","Dominican Republic",1,99.77
Kanazawa,Japan,1,99.77
Faaa,"French Polynesia",1,99.76
Suihua,China,1,99.76
Esfahan,Iran,1,99.75
Sullana,Peru,1,99.75
Monclova,Mexico,1,99.74
Iligan,Philippines,1,99.73
Taguig,Philippines,1,99.70
Yantai,China,1,98.80
Elista,"Russian Federation",1,98.79
"São Leopoldo",Brazil,1,98.78
"São Bernardo do Campo",Brazil,1,98.78
Pereira,Colombia,1,98.77
Sambhal,India,1,98.77
"Allappuzha (Alleppey)",India,1,98.76
Jaipur,India,1,98.75
Higashiosaka,Japan,1,98.75
Battambang,Cambodia,1,98.74
Torreón,Mexico,1,98.73
Ibirité,Brazil,1,97.80
Talavera,Philippines,1,97.79
Chiayi,Taiwan,1,97.76
Caracas,Venezuela,1,97.74
Compton,"United States",1,97.74
Laohekou,China,1,97.74
Salala,Oman,1,97.73
Gingoog,Philippines,1,97.72
Carmen,Mexico,1,96.78
Abha,"Saudi Arabia",1,96.76
Béchar,Algeria,1,96.75
Kingstown,"Saint Vincent and the Grenadines",1,96.75
Alvorada,Brazil,1,96.74
Garland,"United States",1,96.73
Patras,Greece,1,96.72
Pingxiang,China,1,95.78
Gatineau,Canada,1,95.78
"La Paz",Mexico,1,95.78
Nanyang,China,1,95.77
"Aparecida de Goiânia",Brazil,1,95.77
Roanoke,"United States",1,95.77
Guadalajara,Mexico,1,95.77
Sucre,Bolivia,1,95.77
Córdoba,Argentina,1,95.75
Zaria,Nigeria,1,95.75
Eskisehir,Turkey,1,95.75
Botshabelo,"South Africa",1,95.72
"Pangkal Pinang",Indonesia,1,94.82
Shimoga,India,1,94.79
Shivapuri,India,1,94.78
Qalyub,Egypt,1,94.77
Jakarta,Indonesia,1,94.76
Dundee,"United Kingdom",1,94.74
Mahajanga,Madagascar,1,93.78
Oshawa,Canada,1,93.78
Vinh,Vietnam,1,93.78
Amersfoort,Netherlands,1,93.77
"Águas Lindas de Goiás",Brazil,1,93.76
Anápolis,Brazil,1,93.75
Buenaventura,Colombia,1,93.75
Kermanshah,Iran,1,93.74
Laredo,"United States",1,93.72
"Ocumare del Tuy",Venezuela,1,92.79
Kaliningrad,"Russian Federation",1,92.79
Hamilton,"New Zealand",1,92.76
Toulon,France,1,92.76
Bayugan,Philippines,1,92.75
Arak,Iran,1,92.73
Laiwu,China,1,92.73
"Phnom Penh",Cambodia,1,92.73
Bellevue,"United States",1,91.80
Alessandria,Italy,1,91.79
Jaroslavl,"Russian Federation",1,91.79
Okara,Pakistan,1,91.79
Kaduna,Nigeria,1,91.78
Brasília,Brazil,1,91.78
Zalantun,China,1,91.77
"Addis Abeba",Ethiopia,1,91.77
Kimchon,"South Korea",1,91.76
Manchester,"United States",1,91.76
Xintai,China,1,91.76
Junan,China,1,91.75
Halifax,Canada,1,91.75
Balurghat,India,1,91.74
"Stara Zagora",Bulgaria,1,91.74
Nezahualcóyotl,Mexico,1,91.70
Haining,China,1,90.79
Valencia,Venezuela,1,90.78
´s-Hertogenbosch,Netherlands,1,90.77
Ciparay,Indonesia,1,90.77
Lublin,Poland,1,89.79
Konotop,Ukraine,1,89.79
Kilis,Turkey,1,89.78
Masqat,Oman,1,89.77
Idfu,Egypt,1,89.77
Ezhou,China,1,89.77
Kurashiki,Japan,1,89.76
Zeleznogorsk,"Russian Federation",1,89.76
Huai´an,China,1,89.75
Katihar,India,1,89.75
Bratislava,Slovakia,1,89.74
Surakarta,Indonesia,1,89.74
Denizli,Turkey,1,88.82
Gorontalo,Indonesia,1,88.80
Rizhao,China,1,88.79
"Dhule (Dhulia)",India,1,88.78
Amroha,India,1,88.76
Juárez,Mexico,1,88.75
Inegöl,Turkey,1,88.74
Hino,Japan,1,87.82
Purwakarta,Indonesia,1,87.81
Cheju,"South Korea",1,87.79
Asunción,Paraguay,1,87.79
Bradford,"United Kingdom",1,87.77
Saarbrücken,Germany,1,87.76
"El Alto",Bolivia,1,87.76
Siegen,Germany,1,86.81
Ashqelon,Israel,1,86.81
Hami,China,1,86.79
Korla,China,1,86.72
Serpuhov,"Russian Federation",1,85.80
Hoshiarpur,India,1,85.79
"Bat Yam",Israel,1,84.83
Kamakura,Japan,1,84.78
Gijón,Spain,1,84.78
"Saint Louis","United States",1,84.77
"Shahr-e Kord",Iran,1,84.77
Clarksville,"United States",1,83.82
Tieli,China,1,83.81
Nagaon,India,1,83.79
Southport,"United Kingdom",1,83.79
Lausanne,Switzerland,1,83.78
"Grand Prairie","United States",1,82.79
Beni-Mellal,Morocco,1,82.78
"San Miguel de Tucumán",Argentina,1,82.76
Myingyan,Myanmar,1,81.78
Mogiljov,Belarus,1,81.76
"Mandi Bahauddin",Pakistan,1,80.83
al-Hawiya,"Saudi Arabia",1,80.82
"Ciudad del Este",Paraguay,1,80.82
Ranchi,India,1,80.79
Yingkou,China,1,80.77
"Valle de Santiago",Mexico,1,80.76
Cianjur,Indonesia,1,80.74
Tarlac,Philippines,1,79.81
Brest,France,1,79.80
Bislig,Philippines,1,79.79
"El Monte","United States",1,79.79
Dzerzinsk,"Russian Federation",1,79.78
Bagé,Brazil,1,78.84
Syktyvkar,"Russian Federation",1,78.80
Sousse,Tunisia,1,78.77
Pathankot,India,1,77.82
"Santiago de Compostela",Spain,1,77.80
Pavlodar,Kazakstan,1,77.77
Niznekamsk,"Russian Federation",1,76.83
Jodhpur,India,1,76.78
Luziânia,Brazil,1,76.77
Ezeiza,Argentina,1,76.77
"Berhampore (Baharampur)",India,1,75.79
Chatsworth,"South Africa",1,74.83
Udine,Italy,1,74.81
Novotšerkassk,"Russian Federation",1,74.80
Zaoyang,China,1,74.78
Rancagua,Chile,1,73.84
Kütahya,Turkey,1,73.82
Nuku´alofa,Tonga,1,73.82
Oyo,Nigeria,1,73.80
Koriyama,Japan,1,73.79
Tšeboksary,"Russian Federation",1,73.77
Vilnius,Lithuania,1,73.76
"Pachuca de Soto",Mexico,1,72.82
Matsue,Japan,1,72.80
Gandhinagar,India,1,71.81
Shenzhen,China,1,71.81
"Le Mans",France,1,71.80
Tafuna,"American Samoa",1,71.80
Matamoros,Mexico,1,71.77
Hagonoy,Philippines,1,70.82
Gulbarga,India,1,70.81
Zapopan,Mexico,1,69.83
Kumbakonam,India,1,68.82
Linz,Austria,1,68.79
Kabul,Afghanistan,1,67.82
Tarsus,Turkey,1,66.84
Tegal,Indonesia,1,66.81
Barcelona,Venezuela,1,66.79
Kanchrapara,India,1,65.84
Tsaotun,Taiwan,1,64.81
Hubli-Dharwad,India,1,62.85
Enshi,China,1,59.86
Basel,Switzerland,1,58.86
Tete,Mozambique,1,58.82
al-Qadarif,Sudan,1,57.81
Bydgoszcz,Poland,1,52.88
Fuzhou,China,1,50.86
Tallahassee,"United States",1,50.85
